Episode Number,Title,Description,Audio File,Duration,Publish Date,Tags,Type
11,[Episódio 11] IA Proativa vs. Reativa - Transformando Comportamento,"🎯 **Sobre este episódio:**  Explore a diferença entre IA proativa e reativa, e como implementar sistemas que antecipam necessidades e tomam iniciativas.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Proactive AI, Reactive AI, Initiative Taking • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com Goal-Oriented Systems, Proactive Frameworks • Melhores práticas de implementação  📚 **Recursos mencionados:** • Goal-Oriented Systems, Proactive Frameworks • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",11-IA_Proativa_vs.mp3,00:23:00,2024-01-25,"IA, Agentes, Proativo, Reativo, Iniciativa, Antecipação",main
12,[Episódio 12] Tratamento de Exceções - Agentes Imbatíveis,"🎯 **Sobre este episódio:**  Aprenda como implementar tratamento robusto de exceções em agentes de IA, criando sistemas resilientes e confiáveis.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Exception Handling, Error Recovery, Resilient Systems • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com Error Handling Patterns, Recovery Systems • Melhores práticas de implementação  📚 **Recursos mencionados:** • Error Handling Patterns, Recovery Systems • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",12-IA_Imbatível__Como_o_Tratamento_de_Exceções_Transforma_Agentes_.mp3,00:15:00,2024-01-26,"IA, Agentes, Exceções, Recuperação, Resiliência, Error Handling",main
13,[Episódio 13] Human-in-the-Loop - O Segredo da IA Responsável,"🎯 **Sobre este episódio:**  Descubra como implementar Human-in-the-Loop (HITL) em agentes de IA para garantir supervisão humana e responsabilidade.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Human-in-the-Loop, Human Oversight, Responsible AI • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com HITL Frameworks, Supervision Systems • Melhores práticas de implementação  📚 **Recursos mencionados:** • HITL Frameworks, Supervision Systems • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",13-Human-in-the-Loop_(HITL)__O_Segredo_da_IA_Responsável_–_Estraté.mp3,00:18:00,2024-01-27,"IA, Agentes, HITL, Supervisão, Responsabilidade, Human Oversight",main
14,[Episódio 14] RAG Desvendado - Conectando LLMs ao Conhecimento Atual,"🎯 **Sobre este episódio:**  Explore Retrieval-Augmented Generation (RAG), a técnica que permite aos LLMs acessar conhecimento atual e específico.  🔍 **O que você vai aprender:** • Conceitos fundamentais de RAG, Retrieval-Augmented Generation, Knowledge Integration • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com LangChain RAG, Vector Databases • Melhores práticas de implementação  📚 **Recursos mencionados:** • LangChain RAG, Vector Databases, Embedding Models • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",14-RAG_Desvendado__Como_Conectar_LLMs_ao_Conhecimento_Atual_e_Acab.mp3,00:22:00,2024-01-28,"IA, Agentes, RAG, Retrieval, Conhecimento, Vector Search",main
15,[Episódio 15] A2A do Google - Protocolo que Une Agentes de IA,"🎯 **Sobre este episódio:**  Descubra o Agent-to-Agent (A2A) protocol do Google, que permite comunicação padronizada entre diferentes agentes de IA.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Agent-to-Agent, A2A Protocol, Inter-Agent Communication • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com Google A2A, Communication Protocols • Melhores práticas de implementação  📚 **Recursos mencionados:** • Google A2A, Communication Protocols • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",15-A2A_do_Google__O_Protocolo_Que_Une_Agentes_de_IA_de_Diferentes_.mp3,00:26:00,2024-01-29,"IA, Agentes, A2A, Protocolo, Comunicação, Google",main
16,[Episódio 16] Otimização Consciente de Recursos - O Malabarismo Dinâmico,"🎯 **Sobre este episódio:**  Aprenda sobre otimização consciente de recursos em agentes de IA, balanceando eficiência, custo e performance.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Resource Optimization, Cost Management, Performance Balancing • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com Resource Management, Optimization Algorithms • Melhores práticas de implementação  📚 **Recursos mencionados:** • Resource Management, Optimization Algorithms • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",16-Otimização_Consciente_de_Recursos_na_IA__O_Malabarismo_Dinâmico.mp3,00:20:00,2024-01-30,"IA, Agentes, Otimização, Recursos, Eficiência, Performance",main
17,"[Episódio 17] Agentes Autônomos - Chain-of-Thought, ReAct e Lei de Escala","🎯 **Sobre este episódio:**  Explore técnicas avançadas de raciocínio em agentes autônomos, incluindo Chain-of-Thought e ReAct.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Chain-of-Thought, ReAct, Autonomous Reasoning • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com Reasoning Frameworks, Autonomous Systems • Melhores práticas de implementação  📚 **Recursos mencionados:** • Reasoning Frameworks, Autonomous Systems • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/","17-Agentes_Autônomos__Chain-of-Thought,_ReAct_e_a_Lei_de_Escala_da.mp3",00:19:00,2024-01-31,"IA, Agentes, Chain-of-Thought, ReAct, Raciocínio, Autonomia",main
18,[Episódio 18] Guardrails em IA - Engenharia de Confiança e Defesa em Camadas,"🎯 **Sobre este episódio:**  Aprenda sobre guardrails em IA, implementando múltiplas camadas de segurança e controle para sistemas confiáveis.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Guardrails, AI Safety, Defense in Depth • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com Safety Frameworks, Guardrail Systems • Melhores práticas de implementação  📚 **Recursos mencionados:** • Safety Frameworks, Guardrail Systems • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/","18-Guardrails_em_IA__Engenharia_de_Confiança,_Defesa_em_Camadas_e_.mp3",00:16:00,2024-02-01,"IA, Agentes, Guardrails, Segurança, Confiança, AI Safety",main
19,[Episódio 19] Avaliação e Monitoramento - Do Teste AB ao LLM-as-a-Judge,"🎯 **Sobre este episódio:**  Explore técnicas de avaliação e monitoramento de agentes de IA, desde testes A/B tradicionais até LLM-as-a-Judge.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Evaluation Methods, A/B Testing, LLM-as-a-Judge • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com Evaluation Frameworks, Monitoring Systems • Melhores práticas de implementação  📚 **Recursos mencionados:** • Evaluation Frameworks, Monitoring Systems • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",19-Avaliação_e_Monitoramento_de_Agentes_de_IA__Do_Teste_AB_ao_LLM-.mp3,00:25:00,2024-02-02,"IA, Agentes, Avaliação, Monitoramento, A/B Testing, LLM Judge",main
20,[Episódio 20] Priorização em IA - A Bússola Interna da Automação,"🎯 **Sobre este episódio:**  Descubra como implementar sistemas de priorização em agentes de IA para otimizar a tomada de decisões.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Priority Systems, Decision Optimization, Resource Allocation • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com Priority Frameworks, Decision Systems • Melhores práticas de implementação  📚 **Recursos mencionados:** • Priority Frameworks, Decision Systems • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",20-Priorização_em_IA__A_Bússola_Interna_que_Transforma_Automação_e.mp3,00:13:00,2024-02-03,"IA, Agentes, Priorização, Decisões, Otimização, Alocação",main
21,[Episódio 21] Exploração e Descoberta - Caça aos Desconhecidos Desconhecidos,"🎯 **Sobre este episódio:**  Explore como agentes de IA podem descobrir conhecimento novo e lidar com situações não previstas.  🔍 **O que você vai aprender:** • Conceitos fundamentais de Exploration, Discovery, Unknown Unknowns • Implementação prática com frameworks modernos • Casos de uso reais e aplicações empresariais • Técnicas avançadas de otimização  💻 **Conteúdo prático:** • Exemplos de código executáveis • Demonstrações hands-on • Integração com Exploration Frameworks, Discovery Systems • Melhores práticas de implementação  📚 **Recursos mencionados:** • Exploration Frameworks, Discovery Systems • Documentação técnica detalhada • Exemplos de código no repositório  ⚖️ **Direitos Autorais:** Este episódio é baseado no livro ""Agentic Design Patterns: A Practical Guide to Building Intelligent Systems"" de Antonio Gulli. Todos os direitos reservados ao autor original.  📖 **Material Completo:** Acesse o livro completo e códigos em: https://drive.google.com/drive/u/0/folders/1Y3U3IrYCiJ3E45Z8okR5eCg7OPnWQtPV  👤 **Autor Original:** Antonio Gulli - LinkedIn: https://www.linkedin.com/in/searchguy/",21-IA_Colaboradora_e_a_Caça_aos__Desconhecidos_Desconhecidos__Como.mp3,00:17:00,2024-02-04,"IA, Agentes, Exploração, Descoberta, Novidade, Unknown Unknowns",main
